Maker,Year,Registrations,YoY_pct
AAHANA COMMERCE PVT LTD,2022,310,53.47
AAHANA COMMERCE PVT LTD,2023,919,196.45
AAHANA COMMERCE PVT LTD,2024,2912,216.87
AAHANA COMMERCE PVT LTD,2025,3343,14.8
AAKK AUTO PVT LTD,2021,0,
AAKK AUTO PVT LTD,2022,0,
AAKK AUTO PVT LTD,2023,0,
AAKK AUTO PVT LTD,2024,60,inf
AAKK AUTO PVT LTD,2025,76,26.67
AARGEE ELECTRIC,2021,10,
AARGEE ELECTRIC,2022,13,30.0
AARGEE ELECTRIC,2023,18,38.46
AARGEE ELECTRIC,2024,10,-44.44
AARGEE ELECTRIC,2025,0,-100.0
AARON INDUSTRIES,2021,0,
AARON INDUSTRIES,2022,41,inf
AARON INDUSTRIES,2023,36,-12.2
AARON INDUSTRIES,2024,27,-25.0
AARON INDUSTRIES,2025,12,-55.56
AARYA AUTOMOBILES,2021,3,
AARYA AUTOMOBILES,2022,0,-100.0
AARYA AUTOMOBILES,2023,0,
AARYA AUTOMOBILES,2024,0,
AARYA AUTOMOBILES,2025,0,
AASHI INDIA AUTOMOBILES PVT LTD,2021,1,
AASHI INDIA AUTOMOBILES PVT LTD,2022,0,-100.0
AASHI INDIA AUTOMOBILES PVT LTD,2023,0,
AASHI INDIA AUTOMOBILES PVT LTD,2024,0,
AASHI INDIA AUTOMOBILES PVT LTD,2025,0,
AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,2021,0,
AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,2022,0,
AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,2023,1,inf
AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,2024,0,-100.0
AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,2025,0,
ABZO MOTORS PVT LTD,2021,0,
ABZO MOTORS PVT LTD,2022,0,
ABZO MOTORS PVT LTD,2023,15,inf
ABZO MOTORS PVT LTD,2024,68,353.33
