S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1081,SEEKA E MOTORS PVT LTD,0,0,0,0,1,0,0,0,0,1,0,1,3
1082,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,1,3,3,1,3,7,19,2,1,7,6,1,54
1083,SENNEBOGEN EXCAVATOR 821E,0,0,0,0,0,0,1,0,0,0,0,1,2
1084,SETH INDUSTRIAL CORPORATION,34,45,68,75,124,104,69,82,68,110,74,59,912
1085,SF2 E VEHICLE PVT LTD,9,1,10,5,11,1,7,0,0,4,1,0,49
1086,SGLLINE MOTORS PVT LTD,0,10,4,0,0,1,3,0,8,2,1,2,31
1087,SHAH AGRO ENGG WORKS,0,0,0,0,0,0,0,1,0,0,0,0,1
1088,SHAILENDRA AUTOS PVT LTD,0,0,0,0,0,0,0,6,2,4,2,26,40
1089,SHAKTI AUTO GREEN,50,33,84,44,58,65,83,75,60,69,79,89,789
1090,SHAKTI ENGINEERING WORK,0,7,5,0,1,1,0,0,0,0,0,0,14
1091,"SHAKTI EN WORKS HALADIAPADAR,BERHAMPUR,GANJAM",0,0,0,0,0,0,1,0,0,0,0,0,1
1092,SHAKTIMAN AGRO INDUSTRIES,8,6,14,5,1,27,6,1,3,24,5,9,109
1093,SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD,24,21,28,25,22,21,16,19,24,25,25,28,278
1094,SHALYA AUTO SALES PVT LTD,52,48,50,55,51,49,45,63,45,53,44,62,617
1095,SHAMMI ELECTRONICS,0,0,0,0,4,3,5,5,4,1,3,3,28
1096,SHARMA-SHARMA ENGN WORKS,0,1,0,0,1,0,1,1,1,0,1,0,6
1097,SHEHALPREET ENGG WORKS,1,2,2,0,6,9,0,0,0,0,0,0,20
1098,"SHEKHAR ENGINEERING,JAJPUR",1,0,0,1,0,0,0,0,1,0,0,0,3
1099,SHERARAM TRAILERS,0,0,0,0,0,0,0,0,0,0,1,0,1
1100,SHIGAN EVOLTZ LTD,27,33,35,36,28,30,78,58,24,36,17,29,431
1101,SHINE METAL UDYOG PVT LTD (UNIT- II),0,5,11,12,9,3,5,14,12,7,14,18,110
1102,SHINME ELECTRICAL VEHICLE PVT LTD,0,0,0,5,18,19,10,10,13,12,22,11,120
1103,SHIVA GAYATRI ENGG WORKS,67,110,115,116,34,86,51,46,10,23,25,12,695
1104,SHIV AGRO INDUSTRIES,10,15,9,6,10,11,14,12,25,20,18,13,163
1105,SHIVAJI AGRO INDUSTRIES,2,1,0,3,1,0,2,4,0,0,1,1,15
1106,SHIVASHAKTHI ENG WORKS,3,10,16,20,28,7,21,32,20,13,20,15,205
1107,SHIVKRUPA TRAILOR,2,1,0,0,1,0,3,1,1,0,0,3,12
1108,SHIV OM INDIA,6,4,5,3,14,14,42,16,10,24,18,41,197
1109,SHIVRAJ TRAILOR,1,11,2,7,5,3,0,5,0,0,2,1,37
